Country,Continent,Rank,Title,Artists,Album,Explicit,Duration,Popularity
Austria,Europe,11,Breaking Me,"Topic, A7S",Breaking Me,0,2:46,19
Austria,Europe,12,Roller,Apache 207,Platte,1,2:37,13
Austria,Europe,13,FAVELA,Dardan,FAVELA,1,2:39,45
Austria,Europe,14,Airwaves,Pashanim,Airwaves,0,2:58,65
Austria,Europe,15,Salt,Ava Max,Salt,0,3:00,81
Austria,Europe,16,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02,90
Austria,Europe,17,Emotions,Ufo361,Rich Rich,0,2:26,19
Austria,Europe,18,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45,56
Austria,Europe,19,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,1,3:43,58
Austria,Europe,20,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29,45
Austria,Europe,21,In Your Eyes (feat. Alida),"Robin Schulz, Alida",In Your Eyes (feat. Alida),0,3:28,39
Austria,Europe,22,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53,37
Austria,Europe,23,GEHT NICH GIBS NICH,"KC Rebell, Summer Cem",GEHT NICH GIBS NICH,0,3:00,27
Austria,Europe,24,Kings & Queens,Ava Max,Kings & Queens,0,2:42,16
Austria,Europe,25,Maison,Luciano,Maison,0,3:13,2
Austria,Europe,26,90-60-111,Shirin David,90-60-111,1,2:21,55
Austria,Europe,27,Fingertips,Tom Gregory,Fingertips,0,2:45,32
Austria,Europe,28,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03,80
Austria,Europe,29,Ich würd' lügen,KAYEF,Struggle Is Real,0,2:43,34
Austria,Europe,30,Shotz Fired,Bonez MC,Shotz Fired,1,2:59,90
Austria,Europe,31,Falling,Trevor Daniel,Nicotine,0,2:39,12
Austria,Europe,32,The Passenger (LaLaLa),"LUM!X, MOKABY & D.T.E, Gabry Ponte",The Passenger (LaLaLa),0,2:39,34
Austria,Europe,33,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,0,3:48,45
Austria,Europe,34,Late Night,Luciano,Late Night,0,3:20,46
Austria,Europe,35,Some Say - Felix Jaehn Remix,"Nea, Felix Jaehn",Some Say (Felix Jaehn Remix),0,3:06,78
Austria,Europe,36,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,1,3:16,23
Austria,Europe,37,Blueberry Faygo,Lil Mosey,Certified Hitmaker,1,2:42,89
